   Z  A  El   I0    Bn       D0        Derr    Nlow  Ulow   Ntop  Utop      dW      gamma      ainf     aerr    delta0    pairing    Equad     Eoct     beta2
  32  75 Ge  0.0   6.505  3.000E+03  1.000E+03   6   0.317   24   1.257   3.39318   0.16591   4.14116   0.320   1.38564   0.92531   1.52161   2.34094   0.089
  32  77 Ge  0.0   6.072  4.500E+03  1.500E+03   8   0.629   15   1.189   2.60836   0.16446   4.51096   0.340   1.36753   0.63496   1.54028   2.36966   0.153
  33  76 As -1.5   7.328  7.700E+01  8.000E+00   6   0.204   27   0.505   3.70232   0.16518   5.03128   0.095   1.37649   0.70939   1.48528   2.28504  -0.258
  34  75 Se  0.0   8.028  3.400E+02  8.000E+01   8   0.628   25   1.074   3.71190   0.16591   4.44438   0.205   1.38564   1.39382   1.50116   2.30947  -0.241
  34  77 Se  0.0   7.419  6.500E+02  1.000E+02   5   0.301   16   0.970   3.76413   0.16446   4.47733   0.140   1.36753   0.98399   1.46537   2.25441  -0.258
  34  78 Se -0.5  10.498  1.100E+02  3.000E+01   4   1.503   16   2.546   3.18634   0.16375   4.28535   0.225   1.35873   0.42271   1.48582   2.28587   0.143
  34  79 Se  0.0   6.963  2.000E+03  5.000E+02   4   0.365   15   0.819   3.24606   0.16306   4.14541   0.220   1.35011   1.17923   1.46635   2.25593   0.153
  34  81 Se  0.0   6.701  2.000E+03  8.000E+02   7   0.782   19   1.828   2.00050   0.16171   5.17274   0.435   1.33333  -0.06571   1.51742   2.33450   0.163
  34  83 Se  0.0   5.818  5.000E+03  2.500E+03   8   1.063   15   1.710   0.80249   0.16040   6.03133   0.620   1.31717  -0.16045   1.57252   2.41926   0.089
  35  80 Br -1.5   7.892  4.700E+01  5.000E+00   3   0.256   15   0.386   3.38664   0.16238   4.97260   0.095   1.34164   1.02716   1.44234   2.21898   0.107
  35  82 Br -1.5   7.593  1.050E+02  1.500E+01   6   0.420   29   1.083   2.09413   0.16105   5.53216   0.130   1.32518   0.01304   1.49562   2.30096   0.144
  36  79 Kr  0.0   8.334  2.500E+02  8.000E+01   3   0.149   28   1.039   3.55685   0.16306   4.67341   0.280   1.35011   1.36867   1.44701   2.22616  -0.249
  36  81 Kr  0.0   7.873  2.800E+02  6.000E+01   2   0.191   15   0.982   3.30001   0.16171   5.01193   0.200   1.33333   1.02026   1.43279   2.20430   0.071
  36  84 Kr  4.5  10.521  2.000E+02  1.000E+02   4   2.095   26   3.476   1.22962   0.15976   4.39106   0.440   1.30931  -0.39729   1.52558   2.34705   0.062
  36  85 Kr  0.0   7.121  1.000E+03  1.000E+02   7   1.417   19   2.135   0.71307   0.15913   6.39106   0.105   1.30158  -0.12939   1.54828   2.38197   0.062
  37  86 Rb -2.5   8.651  1.700E+02  3.000E+01   5   0.873   16   1.309   0.00312   0.15851   5.22039   0.140   1.29399  -0.60653   1.58768   2.44259   0.062
  37  88 Rb -1.5   6.083  1.800E+03  3.000E+02   8   1.086   15   1.372  -0.44083   0.15730   5.88246   0.165   1.27920  -0.79342   1.59291   2.45063   0.062
  38  85 Sr  0.0   8.530  3.200E+02  1.200E+02   7   1.111   22   1.649   1.85920   0.15913   5.24156   0.340   1.30158   0.47562   1.46710   2.25708   0.053
  38  87 Sr  0.0   8.428  2.600E+03  8.000E+02   7   1.770   18   2.536  -0.02788   0.15790   4.94755   0.265   1.28654  -0.79054   1.57490   2.42292   0.053
  38  88 Sr  4.5  11.113  2.900E+02  8.000E+01   4   3.219   26   4.514  -1.51453   0.15730   5.04317   0.220   1.27920  -1.73003   1.68543   2.59297   0.045
  38  89 Sr  0.0   6.359  2.370E+04  2.900E+03   7   2.079   15   2.930  -0.95346   0.15671   5.62908   0.130   1.27200  -1.55068   1.62045   2.49300   0.053
  39  90 Y  -0.5   6.857  3.700E+03  4.000E+02   3   0.777   16   1.815  -1.29039   0.15613   5.75988   0.095   1.26491  -1.32162   1.63434   2.51437   0.053
  40  91 Zr  0.0   7.194  6.000E+03  1.400E+03   3   1.882   17   2.578  -1.22782   0.15555   5.71209   0.215   1.25794  -0.69962   1.61397   2.48302   0.053
  40  92 Zr  2.5   8.635  5.500E+02  1.000E+02   3   1.495   16   2.904  -0.00102   0.15499   4.76524   0.160   1.25109  -0.27755   1.50122   2.30958   0.053
  40  93 Zr  0.0   6.734  3.500E+03  8.000E+02   8   1.463   18   2.075   0.48211   0.15443   5.59445   0.235   1.24434  -0.37396   1.45267   2.23487   0.053
  40  94 Zr  2.5   8.221  1.600E+02  1.500E+01   4   1.671   16   2.846   1.41776   0.15388   5.54305   0.100   1.23771  -0.18320   1.37688   2.11828   0.062
  40  95 Zr  0.0   6.462  3.200E+03  8.000E+02   3   1.140   18   2.317   1.51116   0.15334   5.41385   0.280   1.23117  -0.57481   1.35887   2.09056   0.180
  41  94 Nb  4.5   7.228  8.000E+01  1.000E+01   8   0.334   19   0.933   0.58504   0.15388   6.49410   0.125   1.23771  -0.40688   1.43258   2.20397   0.062
  42  93 Mo  0.0   8.070  2.700E+03  5.000E+02   8   2.146   16   2.425  -1.84327   0.15443   5.93458   0.155   1.24434  -0.50177   1.63871   2.52110   0.053
  42  95 Mo  0.0   7.369  1.320E+03  1.800E+02   8   1.074   20   1.660   0.09697   0.15334   5.84781   0.130   1.23117   0.06338   1.45449   2.23767   0.053
  42  96 Mo  2.5   9.154  1.050E+02  1.000E+01   6   1.628   15   2.441   1.02534   0.15280   5.19525   0.085   1.22474   0.01106   1.37819   2.12029   0.080
  42  97 Mo  0.0   6.821  1.050E+03  2.000E+02   6   0.753   20   1.321   1.69945   0.15228   5.52102   0.190   1.21842   0.40348   1.32389   2.03675   0.161
  42  98 Mo  2.5   8.643  7.500E+01  2.000E+01   4   1.510   18   2.344   2.45331   0.15176   5.03026   0.265   1.21218   0.26590   1.26855   1.95162   0.180
  42  99 Mo  0.0   5.925  1.000E+03  2.000E+02   3   0.351   15   0.905   3.37697   0.15124   5.47671   0.235   1.20605   0.73809   1.20816   1.85871   0.207
  42 101 Mo  0.0   5.398  8.000E+02  1.500E+02   2   0.057   22   0.626   4.67338   0.15024   5.30402   0.225   1.19404   1.27856   1.12576   1.73194   0.309
  43 100 Tc  4.5   6.764  1.200E+01  1.300E+00   8   0.300   17   0.457   3.02519   0.15074   6.86624   0.125   1.20000   0.47949   1.21639   1.87137   0.189
  44 100 Ru  2.5   9.673  2.500E+01  4.000E+00   6   1.865   28   2.517   1.29006   0.15074   5.67753   0.145   1.20000   0.32050   1.31553   2.02389   0.161
  44 102 Ru  2.5   9.220  1.800E+01  3.000E+00   7   1.603   19   2.303   2.64795   0.14975   5.66082   0.165   1.18818   0.29044   1.21641   1.87140   0.189
  44 103 Ru  0.0   6.232  5.500E+02  1.500E+02   7   0.298   16   0.555   3.54210   0.14926   5.24990   0.295   1.18240   1.19523   1.16074   1.78575   0.235
  44 105 Ru  0.0   5.910  3.000E+02  7.500E+01   8   0.246   21   0.671   4.24424   0.14831   6.00264   0.310   1.17108   0.97482   1.10920   1.70646   0.291
  45 104 Rh -0.5   6.999  3.200E+01  4.000E+00   8   0.213   15   0.359   2.97194   0.14878   6.96927   0.140   1.17670   0.34207   1.18001   1.81540   0.208
  46 105 Pd  0.0   7.094  2.400E+02  3.000E+01   4   0.345   17   0.808   2.06640   0.14831   6.03485   0.130   1.17108   0.93825   1.21867   1.87488   0.171
  46 106 Pd  2.5   9.561  1.030E+01  5.000E-01   6   1.562   28   2.500   2.34052   0.14784   6.05705   0.050   1.16554   0.18173   1.19425   1.83731   0.171
  46 107 Pd  0.0   6.536  2.700E+02  9.000E+01   8   0.392   19   0.809   3.19274   0.14738   5.97156   0.380   1.16008   0.87441   1.14140   1.75600   0.198
