 Z= 109 A= 249  Mt beta2= 0.40 nrho= 200
   r[fm]   rhon0[fm-3]    rhon2          rhon4          rhon6          rhon8          rhop0[fm-3]    rhop2          rhop4          rhop6          rhop8        
  10.500   3.185082E-04   4.516066E-04   2.391043E-04   6.332982E-05   2.259438E-06   2.080761E-04   3.090271E-04   1.851412E-04   6.889061E-05   1.794762E-05
  10.600   2.563868E-04   3.621347E-04   1.901501E-04   5.017599E-05   2.279598E-06   1.654633E-04   2.446400E-04   1.462585E-04   5.528448E-05   1.538763E-05
  10.700   2.063660E-04   2.901737E-04   1.506684E-04   3.928551E-05   2.033968E-06   1.315467E-04   1.934081E-04   1.150416E-04   4.398831E-05   1.299412E-05
  10.800   1.662048E-04   2.325420E-04   1.190649E-04   3.039824E-05   1.649157E-06   1.046465E-04   1.528512E-04   9.017756E-05   3.472516E-05   1.082529E-05
  10.900   1.340289E-04   1.865436E-04   9.393745E-05   2.324298E-05   1.211627E-06   8.336927E-05   1.208826E-04   7.051656E-05   2.721475E-05   8.908939E-06
  11.000   1.082853E-04   1.499225E-04   7.407669E-05   1.755495E-05   7.768982E-07   6.657084E-05   9.576941E-05   5.507040E-05   2.118826E-05   7.250447E-06
  11.100   8.769935E-05   1.208120E-04   5.845685E-05   1.308758E-05   3.776194E-07   5.332081E-05   7.608941E-05   4.300413E-05   1.639792E-05   5.839753E-06
  11.200   7.123295E-05   9.768411E-05   4.622134E-05   9.619410E-06   3.030785E-08   4.286933E-05   6.068809E-05   3.362314E-05   1.262261E-05   4.657099E-06
  11.300   5.804726E-05   7.930002E-05   3.666475E-05   6.957314E-06  -2.592816E-07   3.461693E-05   4.863787E-05   2.635759E-05   9.670095E-06   3.677546E-06
  11.400   4.746880E-05   6.466388E-05   2.921346E-05   4.936916E-06  -4.920736E-07   2.808790E-05   3.920034E-05   2.074598E-05   7.377026E-06   2.874308E-06
  11.500   3.895988E-05   5.298133E-05   2.340625E-05   3.421200E-06  -6.727181E-07   2.290713E-05   3.179262E-05   1.641880E-05   5.607205E-06   2.221070E-06
  11.600   3.209329E-05   4.362289E-05   1.887606E-05   2.297977E-06  -8.075681E-07   1.878042E-05   2.595795E-05   1.308329E-05   4.248965E-06   1.693438E-06
  11.700   2.653087E-05   3.609256E-05   1.533339E-05   1.476783E-06  -9.033904E-07   1.547808E-05   2.134073E-05   1.050958E-05   3.212038E-06   1.269735E-06
  11.800   2.200564E-05   3.000125E-05   1.255178E-05   8.856431E-07  -9.666175E-07   1.282136E-05   1.766555E-05   8.518661E-06   2.424330E-06   9.312970E-07
  11.900   1.830730E-05   2.504485E-05   1.035531E-05   4.679456E-07  -1.002980E-06   1.067146E-05   1.472006E-05   6.972134E-06   1.828832E-06   6.624382E-07
  12.000   1.527027E-05   2.098629E-05   8.608238E-06   1.796162E-07  -1.017386E-06   8.920764E-06   1.234103E-05   5.763627E-06   1.380827E-06   4.502077E-07
  12.100   1.276425E-05   1.764103E-05   7.206378E-06  -1.334606E-08  -1.013944E-06   7.485851E-06   1.040335E-05   4.811844E-06   1.045460E-06   2.840413E-07
  12.200   1.068659E-05   1.486558E-05   6.070226E-06  -1.369435E-07  -9.960677E-07   6.302025E-06   8.811224E-06   4.054957E-06   7.956950E-07   1.553759E-07
  12.300   8.956363E-06   1.254825E-05   5.139395E-06  -2.108876E-07  -9.665916E-07   5.319049E-06   7.491374E-06   3.446161E-06   6.106447E-07   5.727733E-08
  12.400   7.509543E-06   1.060209E-05   4.368227E-06  -2.499794E-07  -9.279002E-07   4.497827E-06   6.387736E-06   2.950188E-06   4.742224E-07  -1.589197E-08
  12.500   6.295374E-06   8.959150E-06   3.722345E-06  -2.652112E-07  -8.820281E-07   3.807856E-06   5.457375E-06   2.540585E-06   3.740802E-07  -6.875212E-08
  12.600   5.273431E-06   7.566194E-06   3.175949E-06  -2.646394E-07  -8.307409E-07   3.225244E-06   4.667344E-06   2.197609E-06   3.007776E-07  -1.051287E-07
