 Z= 100 A= 230  Fm beta2= 0.11 nrho= 200
   r[fm]   rhon0[fm-3]    rhon2          rhon4          rhon6          rhon8          rhop0[fm-3]    rhop2          rhop4          rhop6          rhop8        
   7.500   2.478187E-02   6.256088E-03   3.768188E-03   1.300885E-03   3.291822E-04   1.853706E-02   5.785828E-03   3.263666E-03   9.993938E-04   2.459969E-04
   7.600   2.181672E-02   5.978532E-03   3.668227E-03   1.320596E-03   3.565735E-04   1.618957E-02   5.469422E-03   3.141610E-03   1.008142E-03   2.656643E-04
   7.700   1.907265E-02   5.647702E-03   3.528862E-03   1.320314E-03   3.769658E-04   1.403536E-02   5.112770E-03   2.989856E-03   1.002030E-03   2.800332E-04
   7.800   1.656001E-02   5.275803E-03   3.356141E-03   1.301260E-03   3.901561E-04   1.207929E-02   4.727553E-03   2.814050E-03   9.820700E-04   2.889868E-04
   7.900   1.428277E-02   4.875214E-03   3.156709E-03   1.265238E-03   3.962321E-04   1.032135E-02   4.325149E-03   2.620095E-03   9.496946E-04   2.926185E-04
   8.000   1.223927E-02   4.457915E-03   2.937453E-03   1.214498E-03   3.955422E-04   8.757250E-03   3.916199E-03   2.413886E-03   9.066544E-04   2.912114E-04
   8.100   1.042294E-02   4.035017E-03   2.705177E-03   1.151588E-03   3.886538E-04   7.379140E-03   3.510256E-03   2.201070E-03   8.549102E-04   2.852081E-04
   8.200   8.823338E-03   3.616396E-03   2.466324E-03   1.079201E-03   3.763048E-04   6.176384E-03   3.115540E-03   1.986855E-03   7.965255E-04   2.751757E-04
   8.300   7.426970E-03   3.210444E-03   2.226751E-03   1.000046E-03   3.593506E-04   5.136300E-03   2.738793E-03   1.775857E-03   7.335654E-04   2.617674E-04
   8.400   6.218269E-03   2.823946E-03   1.991572E-03   9.167287E-04   3.387126E-04   4.244876E-03   2.385223E-03   1.571996E-03   6.680083E-04   2.456842E-04
   8.500   5.180397E-03   2.462044E-03   1.765054E-03   8.316522E-04   3.153289E-04   3.487422E-03   2.058540E-03   1.378441E-03   6.016726E-04   2.276388E-04
   8.600   4.295979E-03   2.128306E-03   1.550575E-03   7.469475E-04   2.901113E-04   2.849118E-03   1.761048E-03   1.197598E-03   5.361621E-04   2.083225E-04
   8.700   3.547722E-03   1.824846E-03   1.350633E-03   6.644257E-04   2.639098E-04   2.315479E-03   1.493802E-03   1.031134E-03   4.728297E-04   1.883790E-04
   8.800   2.918907E-03   1.552506E-03   1.166893E-03   5.855537E-04   2.374853E-04   1.872711E-03   1.256785E-03   8.800323E-04   4.127590E-04   1.683828E-04
   8.900   2.393752E-03   1.311064E-03   1.000268E-03   5.114513E-04   2.114914E-04   1.507967E-03   1.049109E-03   7.446725E-04   3.567623E-04   1.488258E-04
   9.000   1.957673E-03   1.099443E-03   8.510203E-04   4.429062E-04   1.864646E-04   1.209521E-03   8.692188E-04   6.249195E-04   3.053924E-04   1.301087E-04
   9.100   1.597435E-03   9.159320E-04   7.188716E-04   3.804014E-04   1.628214E-04   9.668581E-04   7.150810E-04   5.202245E-04   2.589646E-04   1.125396E-04
   9.200   1.301223E-03   7.583798E-04   6.031213E-04   3.241525E-04   1.408629E-04   7.706953E-04   5.843620E-04   4.297230E-04   2.175869E-04   9.633661E-05
   9.300   1.058640E-03   6.243711E-04   5.027555E-04   2.741511E-04   1.207829E-04   6.129612E-04   4.745775E-04   3.523292E-04   1.811946E-04   8.163474E-05
   9.400   8.606594E-04   5.113746E-04   4.165501E-04   2.302089E-04   1.026810E-04   4.867290E-04   3.832173E-04   2.868205E-04   1.495855E-04   6.849587E-05
   9.500   6.995371E-04   4.168615E-04   3.431596E-04   1.920020E-04   8.657673E-05   3.861284E-04   3.078415E-04   2.319104E-04   1.224561E-04   5.692009E-05
   9.600   5.686990E-04   3.383954E-04   2.811923E-04   1.591115E-04   7.242504E-05   3.062400E-04   2.461521E-04   1.863089E-04   9.943407E-05   4.685801E-05
   9.700   4.626193E-04   2.736962E-04   2.292694E-04   1.310600E-04   6.013156E-05   2.429846E-04   1.960396E-04   1.487687E-04   8.010729E-05   3.822291E-05
   9.800   3.766937E-04   2.206800E-04   1.860702E-04   1.073419E-04   4.956681E-05   1.930113E-04   1.556099E-04   1.181190E-04   6.404843E-05   3.090215E-05
   9.900   3.071157E-04   1.774813E-04   1.503631E-04   8.744853E-05   4.057898E-05   1.535917E-04   1.231955E-04   9.328855E-05   5.083451E-05   2.476734E-05
  10.000   2.507603E-04   1.424587E-04   1.210253E-04   7.088688E-05   3.300474E-05   1.225217E-04   9.735266E-05   7.331766E-05   4.006171E-05   1.968302E-05
  10.100   2.050773E-04   1.141902E-04   9.705272E-05   5.719324E-05   2.667805E-05   9.803295E-05   7.685066E-05   5.736299E-05   3.135560E-05   1.551359E-05
