 Z= 101 A= 227  Md beta2= 0.01 nrho= 200
   r[fm]   rhon0[fm-3]    rhon2          rhon4          rhon6          rhon8          rhop0[fm-3]    rhop2          rhop4          rhop6          rhop8        
   7.600   1.991736E-02   2.756558E-04  -9.758962E-05   7.279252E-06   2.774458E-07   1.571555E-02   3.571193E-04  -1.199647E-04   9.530312E-06   5.928788E-07
   7.700   1.722458E-02   2.510473E-04  -8.881325E-05   6.593395E-06   2.685226E-07   1.350847E-02   3.251243E-04  -1.089000E-04   8.551189E-06   5.696558E-07
   7.800   1.478367E-02   2.259271E-04  -7.994099E-05   5.910048E-06   2.562076E-07   1.151937E-02   2.925919E-04  -9.776944E-05   7.588354E-06   5.390121E-07
   7.900   1.259546E-02   2.009506E-04  -7.118500E-05   5.243895E-06   2.411019E-07   9.746613E-03   2.603701E-04  -8.684209E-05   6.662391E-06   5.027452E-07
   8.000   1.065473E-02   1.766849E-04  -6.272544E-05   4.607035E-06   2.238612E-07   8.183795E-03   2.291782E-04  -7.634078E-05   5.789365E-06   4.626158E-07
   8.100   8.951279E-03   1.535949E-04  -5.470723E-05   4.008850E-06   2.051558E-07   6.820607E-03   1.995941E-04  -6.644001E-05   4.980895E-06   4.202702E-07
   8.200   7.470998E-03   1.320377E-04  -4.723923E-05   3.456044E-06   1.856351E-07   5.643781E-03   1.720515E-04  -5.726636E-05   4.244435E-06   3.771815E-07
   8.300   6.196993E-03   1.122639E-04  -4.039541E-05   2.952807E-06   1.658984E-07   4.637989E-03   1.468444E-04  -4.890142E-05   3.583726E-06   3.346100E-07
   8.400   5.110600E-03   9.442388E-05  -3.421766E-05   2.501081E-06   1.464725E-07   3.786685E-03   1.241391E-04  -4.138642E-05   2.999343E-06   2.935827E-07
   8.500   4.192314E-03   7.857844E-05  -2.871972E-05   2.100892E-06   1.277969E-07   3.072854E-03   1.039899E-04  -3.472811E-05   2.489306E-06   2.548889E-07
   8.600   3.422565E-03   6.471258E-05  -2.389185E-05   1.750712E-06   1.102171E-07   2.479643E-03   8.635788E-05  -2.890518E-05   2.049686E-06   2.190891E-07
   8.700   2.782360E-03   5.275038E-05  -1.970572E-05   1.447831E-06   9.398314E-08   1.990861E-03   7.113142E-05  -2.387477E-05   1.675183E-06   1.865345E-07
   8.800   2.253760E-03   4.257031E-05  -1.611936E-05   1.188704E-06   7.925549E-08   1.591355E-03   5.814535E-05  -1.957876E-05   1.359647E-06   1.573942E-07
   8.900   1.820215E-03   3.401974E-05  -1.308158E-05   9.692714E-07   6.611334E-08   1.267265E-03   4.719947E-05  -1.594936E-05   1.096518E-06   1.316855E-07
