 Z= 107 A= 247  Bh beta2= 0.36 nrho= 200
   r[fm]   rhon0[fm-3]    rhon2          rhon4          rhon6          rhon8          rhop0[fm-3]    rhop2          rhop4          rhop6          rhop8        
   5.100   8.238840E-02   2.904073E-03   3.458671E-04   6.148701E-05  -1.701345E-04   6.412721E-02   1.504963E-03   1.865853E-04   5.380434E-04  -3.633321E-04
   5.200   8.183182E-02   3.177037E-03   2.972115E-04   2.221028E-04  -1.652816E-04   6.385162E-02   1.663745E-03  -1.773058E-05   5.790796E-04  -3.098151E-04
   5.300   8.116143E-02   3.503260E-03   1.854793E-04   3.790255E-04  -1.504471E-04   6.346100E-02   1.918634E-03  -2.612965E-04   5.932720E-04  -2.522420E-04
   5.400   8.035603E-02   3.900971E-03   1.261257E-05   5.219144E-04  -1.263507E-04   6.293879E-02   2.283020E-03  -5.372522E-04   5.783707E-04  -1.919325E-04
   5.500   7.939590E-02   4.387086E-03  -2.153129E-04   6.407200E-04  -9.440801E-05   6.227038E-02   2.766500E-03  -8.363089E-04   5.328556E-04  -1.304596E-04
   5.600   7.826391E-02   4.975829E-03  -4.881899E-04   7.263131E-04  -5.669940E-05   6.144379E-02   3.374182E-03  -1.147017E-03   4.561101E-04  -6.961862E-05
   5.700   7.694645E-02   5.677468E-03  -7.922594E-04   7.710910E-04  -1.588304E-05   6.045025E-02   4.106196E-03  -1.456190E-03   3.485813E-04  -1.137321E-05
   5.800   7.543424E-02   6.497258E-03  -1.110755E-03   7.695173E-04   2.494480E-05   5.928472E-02   4.957421E-03  -1.749483E-03   2.119061E-04   4.222284E-05
   5.900   7.372287E-02   7.434675E-03  -1.424784E-03   7.185496E-04   6.243625E-05   5.794608E-02   5.917465E-03  -2.012072E-03   4.898620E-05   8.912426E-05
   6.000   7.181307E-02   8.482988E-03  -1.714386E-03   6.179194E-04   9.321260E-05   5.643731E-02   6.970900E-03  -2.229434E-03  -1.360039E-04   1.274086E-04
   6.100   6.971071E-02   9.629204E-03  -1.959710E-03   4.702348E-04   1.141034E-04   5.476533E-02   8.097746E-03  -2.388138E-03  -3.376875E-04   1.553982E-04
   6.200   6.742658E-02   1.085440E-02  -2.142222E-03   2.808925E-04   1.223843E-04   5.294078E-02   9.274175E-03  -2.476631E-03  -5.496400E-04   1.717798E-04
   6.300   6.497585E-02   1.213438E-02  -2.245859E-03   5.780013E-05   1.159942E-04   5.097757E-02   1.047341E-02  -2.485939E-03  -7.646265E-04   1.757118E-04
   6.400   6.237744E-02   1.344069E-02  -2.258048E-03  -1.890761E-04   9.371085E-05   4.889237E-02   1.166676E-02  -2.410250E-03  -9.749108E-04   1.669081E-04
   6.500   5.965318E-02   1.474182E-02  -2.170522E-03  -4.483068E-04   5.527043E-05   4.670395E-02   1.282475E-02  -2.247321E-03  -1.172621E-03   1.456894E-04
   6.600   5.682697E-02   1.600461E-02  -1.979863E-03  -7.076940E-04   1.417265E-06   4.443255E-02   1.391827E-02  -1.998691E-03  -1.350148E-03   1.129957E-04
   6.700   5.392388E-02   1.719569E-02  -1.687746E-03  -9.550159E-04  -6.612046E-05   4.209917E-02   1.491972E-02  -1.669678E-03  -1.500545E-03   7.035642E-05
   6.800   5.096934E-02   1.828298E-02  -1.300866E-03  -1.178763E-03  -1.447289E-04   3.972500E-02   1.580403E-02  -1.269153E-03  -1.617912E-03   1.981780E-05
   6.900   4.798833E-02   1.923704E-02  -8.305572E-04  -1.368818E-03  -2.310729E-04   3.733081E-02   1.654959E-02  -8.091150E-04  -1.697716E-03  -3.616724E-05
   7.000   4.500484E-02   2.003228E-02  -2.921376E-04  -1.517017E-03  -3.213130E-04   3.493646E-02   1.713897E-02  -3.040877E-04  -1.737040E-03  -9.487966E-05
   7.100   4.204130E-02   2.064796E-02   2.959707E-04  -1.617578E-03  -4.113568E-04   3.256056E-02   1.755949E-02   2.296159E-04  -1.734739E-03  -1.534944E-04
   7.200   3.911826E-02   2.106891E-02   9.132770E-04  -1.667344E-03  -4.971245E-04   3.022014E-02   1.780350E-02   7.747144E-04  -1.691480E-03  -2.092480E-04
   7.300   3.625417E-02   2.128599E-02   1.538342E-03  -1.665851E-03  -5.748066E-04   2.793050E-02   1.786851E-02   1.313810E-03  -1.609679E-03  -2.595993E-04
   7.400   3.346527E-02   2.129622E-02   2.149906E-03  -1.615215E-03  -6.410937E-04   2.570512E-02   1.775704E-02   1.830215E-03  -1.493332E-03  -3.023735E-04
   7.500   3.076559E-02   2.110272E-02   2.727945E-03  -1.519861E-03  -6.933624E-04   2.355558E-02   1.747636E-02   2.308710E-03  -1.347752E-03  -3.358759E-04
   7.600   2.816701E-02   2.071423E-02   3.254605E-03  -1.386118E-03  -7.298034E-04   2.149168E-02   1.703791E-02   2.736177E-03  -1.179251E-03  -3.589701E-04
   7.700   2.567939E-02   2.014461E-02   3.714952E-03  -1.221728E-03  -7.494874E-04   1.952144E-02   1.645679E-02   3.102095E-03  -9.947569E-04  -3.711148E-04
   7.800   2.331066E-02   1.941199E-02   4.097508E-03  -1.035300E-03  -7.523661E-04   1.765125E-02   1.575092E-02   3.398855E-03  -8.014364E-04  -3.723594E-04
   7.900   2.106703E-02   1.853787E-02   4.394557E-03  -8.357574E-04  -7.392136E-04   1.588593E-02   1.494032E-02   3.621914E-03  -6.063133E-04  -3.633004E-04
   8.000   1.895307E-02   1.754621E-02   4.602221E-03  -6.318192E-04  -7.115174E-04   1.422890E-02   1.404631E-02   3.769757E-03  -4.159292E-04  -3.450057E-04
   8.100   1.697186E-02   1.646235E-02   4.720322E-03  -4.315428E-04  -6.713321E-04   1.268222E-02   1.309064E-02   3.843727E-03  -2.360571E-04  -3.189127E-04
   8.200   1.512508E-02   1.531208E-02   4.752057E-03  -2.419582E-04  -6.211086E-04   1.124676E-02   1.209483E-02   3.847704E-03  -7.148513E-05  -2.867129E-04
   8.300   1.341310E-02   1.412074E-02   4.703530E-03  -6.880604E-05  -5.635161E-04   9.922219E-03   1.107947E-02   3.787699E-03   7.412273E-05  -2.502296E-04
   8.400   1.183508E-02   1.291240E-02   4.583178E-03   8.361361E-05  -5.012690E-04   8.707275E-03   1.006363E-02   3.671372E-03   1.982868E-04  -2.113008E-04
   8.500   1.038900E-02   1.170922E-02   4.401138E-03   2.124863E-04  -4.369716E-04   7.599629E-03   9.064447E-03   3.507521E-03   2.996980E-04  -1.716729E-04
   8.600   9.071797E-03   1.053091E-02   4.168605E-03   3.164322E-04  -3.729893E-04   6.596104E-03   8.096779E-03   3.305582E-03   3.781385E-04  -1.329142E-04
   8.700   7.879378E-03   9.394365E-03   3.897216E-03   3.953754E-04  -3.113522E-04   5.692738E-03   7.172996E-03   3.075143E-03   4.343518E-04  -9.634928E-05
   8.800   6.806760E-03   8.313468E-03   3.598485E-03   4.503549E-04  -2.536939E-04   4.884882E-03   6.302895E-03   2.825528E-03   4.698742E-04  -6.301879E-05
   8.900   5.848165E-03   7.298998E-03   3.283335E-03   4.832972E-04  -2.012231E-04   4.167299E-03   5.493724E-03   2.565444E-03   4.868463E-04  -3.366195E-05
   9.000   4.997141E-03   6.358704E-03   2.961712E-03   4.967734E-04  -1.547277E-04   3.534286E-03   4.750291E-03   2.302702E-03   4.878182E-04  -8.721124E-06
   9.100   4.246699E-03   5.497474E-03   2.642317E-03   4.937576E-04  -1.146033E-04   2.979789E-03   4.075158E-03   2.044040E-03   4.755616E-04   1.163580E-05
   9.200   3.589459E-03   4.717587E-03   2.332437E-03   4.774039E-04  -8.090091E-05   2.497524E-03   3.468886E-03   1.795004E-03   4.529001E-04   2.747943E-05
