 Z= 108 A= 248  Hs beta2= 0.38 nrho= 200
   r[fm]   rhon0[fm-3]    rhon2          rhon4          rhon6          rhon8          rhop0[fm-3]    rhop2          rhop4          rhop6          rhop8        
   8.200   1.573093E-02   1.645838E-02   4.680215E-03  -6.202116E-04  -7.565777E-04   1.192988E-02   1.313760E-02   3.939710E-03  -3.165222E-04  -3.945303E-04
   8.300   1.402493E-02   1.522994E-02   4.689600E-03  -4.162055E-04  -7.041210E-04   1.059044E-02   1.209025E-02   3.923537E-03  -1.432242E-04  -3.606886E-04
   8.400   1.244153E-02   1.397681E-02   4.619735E-03  -2.301559E-04  -6.433518E-04   9.352501E-03   1.103457E-02   3.843438E-03   9.517280E-06  -3.215472E-04
   8.500   1.098019E-02   1.272184E-02   4.480214E-03  -6.622119E-05  -5.772083E-04   8.215049E-03   9.988543E-03   3.708010E-03   1.394490E-04  -2.791814E-04
   8.600   9.639404E-03   1.148572E-02   4.282023E-03   7.299000E-05  -5.084995E-04   7.176251E-03   8.968111E-03   3.526770E-03   2.455177E-04  -2.355548E-04
   8.700   8.416738E-03   1.028652E-02   4.036898E-03   1.863327E-04  -4.397711E-04   6.233507E-03   7.986872E-03   3.309647E-03   3.277672E-04  -1.924270E-04
   8.800   7.308842E-03   9.139422E-03   3.756728E-03   2.739652E-04  -3.732059E-04   5.383491E-03   7.055939E-03   3.066520E-03   3.871874E-04  -1.512860E-04
   8.900   6.311497E-03   8.056564E-03   3.453035E-03   3.371373E-04  -3.105621E-04   4.622212E-03   6.183903E-03   2.806817E-03   4.255315E-04  -1.133074E-04
   9.000   5.419693E-03   7.047059E-03   3.136536E-03   3.779470E-04  -2.531478E-04   3.945098E-03   5.376883E-03   2.539193E-03   4.451174E-04  -7.933852E-05
   9.100   4.627728E-03   6.117088E-03   2.816821E-03   3.990897E-04  -2.018275E-04   3.347086E-03   4.638667E-03   2.271293E-03   4.486284E-04  -4.990570E-05
   9.200   3.929330E-03   5.270110E-03   2.502126E-03   4.036147E-04  -1.570539E-04   2.822724E-03   3.970917E-03   2.009597E-03   4.389250E-04  -2.523964E-05
   9.300   3.317788E-03   4.507142E-03   2.199210E-03   3.947057E-04  -1.189203E-04   2.366295E-03   3.373424E-03   1.759348E-03   4.188790E-04  -5.314820E-06
   9.400   2.786105E-03   3.827090E-03   1.913329E-03   3.754942E-04  -8.722453E-05   1.971923E-03   2.844399E-03   1.524542E-03   3.912350E-04   1.010241E-05
   9.500   2.327141E-03   3.227114E-03   1.648277E-03   3.489115E-04  -6.153792E-05   1.633698E-03   2.380770E-03   1.307992E-03   3.585047E-04   2.140195E-05
   9.600   1.933757E-03   2.702996E-03   1.406502E-03   3.175826E-04  -4.127482E-05   1.345781E-03   1.978487E-03   1.111423E-03   3.228933E-04   2.907843E-05
   9.700   1.598945E-03   2.249502E-03   1.189254E-03   2.837590E-04  -2.575651E-05   1.102502E-03   1.632807E-03   9.356107E-04   2.862568E-04   3.368352E-05
   9.800   1.315950E-03   1.860721E-03   9.967681E-04   2.492876E-04  -1.426688E-05   8.984485E-04   1.338561E-03   7.805308E-04   2.500876E-04   3.578458E-05
   9.900   1.078361E-03   1.530369E-03   8.284580E-04   2.156094E-04  -6.097863E-06   7.285311E-04   1.090389E-03   6.455206E-04   2.155225E-04   3.593110E-05
  10.000   8.801923E-04   1.252048E-03   6.831076E-04   1.837823E-04  -5.837293E-07   5.880382E-04   8.829318E-04   5.294363E-04   1.833680E-04   3.462966E-05
  10.100   7.159345E-04   1.019465E-03   5.590531E-04   1.545201E-04   2.875406E-06   4.726691E-04   7.109942E-04   4.307992E-04   1.541391E-04   3.232708E-05
  10.200   5.805896E-04   8.265959E-04   4.543459E-04   1.282417E-04   4.799930E-06   3.785531E-04   5.696666E-04   3.479260E-04   1.281033E-04   2.940121E-05
  10.300   4.696843E-04   6.678151E-04   3.668930E-04   1.051259E-04   5.625380E-06   3.022530E-04   4.544103E-04   2.790402E-04   1.053298E-04   2.615809E-05
  10.400   3.792660E-04   5.379738E-04   2.945708E-04   8.516497E-05   5.703640E-06   2.407558E-04   3.611124E-04   2.223610E-04   8.573536E-05   2.283422E-05
  10.500   3.058856E-04   4.324480E-04   2.353140E-04   6.821551E-05   5.308867E-06   1.914536E-04   2.861117E-04   1.761724E-04   6.912858E-05   1.960244E-05
  10.600   2.465690E-04   3.471550E-04   1.871798E-04   5.404324E-05   4.646470E-06   1.521158E-04   2.262033E-04   1.388723E-04   5.524773E-05   1.658017E-05
  10.700   1.987801E-04   2.785449E-04   1.483904E-04   4.236063E-05   3.863651E-06   1.208575E-04   1.786239E-04   1.090039E-04   4.379268E-05   1.383885E-05
